PacketCounter;SchouderLinks_EUL;SchouderLinks_ACC;SchouderLinks_GYR;BovenLinks_ACC;BovenLinks_QUAT;BovenLinks_GYR;OnderLinks_ACC;OnderLinks_EUL;OnderLinks_GYR;Sternum_ACC;Sternum_QUAT;Sternum_GYR;SchouderRechts_ACC;SchouderRechts_QUAT;SchouderRechts_GYR;BovenRechts_ACC;BovenRechts_QUAT;BovenRechts_GYR;OnderRechts_ACC;OnderRechts_QUAT;OnderRechts_GYR
47;156,5030217;9,846890374;5,165122374;9,993888833;0,63430143;5,383645794;9,983526355;184,4535409;0,505122805;1,5877817;1,232878456;1,331365679;10,08748479;0,999486297;4,554942807;9,911206235;0,883562316;1,879353662;9,995600768;0,943367472;2,80502144
48;156,501165;9,838473518;5,492866669;9,997822649;0,634464746;5,525049459;9,95632362;184,4579691;0,466454749;1,48524039;1,232949147;1,348606517;10,12077513;0,999482787;4,183234094;9,905074185;0,883537407;1,643717532;9,968765629;0,943391849;2,642208756
49;156,5008334;9,852145683;5,741406264;9,990284874;0,634622495;5,470221346;9,972903075;184,4611265;0,634351;1,479422838;1,233040082;1,201122071;10,10394834;0,999478793;3,958326415;9,918312919;0,88351619;1,360587543;10,00922332;0,943407568;2,48838985
50;156,5029622;9,886230989;5,670278887;10,01389597;0,634761626;5,386510891;9,959569676;184,4648184;0,681753006;1,394055702;1,233122445;1,187753776;10,04860265;0,999474684;3,78458961;9,921146675;0,883495007;1,358205802;9,98399152;0,943433084;2,609471537
51;156,50952;9,928702429;5,491161044;10,0433833;0,634866086;5,0726867;9,955245255;184,4675203;0,718015798;1,402101223;1,233168643;1,638595925;10,05863631;0,999470846;3,862681817;9,888659302;0,883472279;1,422430231;9,977099182;0,943458903;2,650408426
52;156,5149481;9,926515602;5,421110971;10,06137968;0,634953816;4,708409629;9,975936301;184,4703438;0,638551386;1,404618211;1,233207351;1,862897338;10,13734709;0,999466808;4,159013106;9,879952074;0,883453799;1,529058562;9,964142758;0,943474259;2,445474123
53;156,5171273;9,922360702;5,464785725;10,06264773;0,635077146;4,532725561;10,00625738;184,4708187;0,429915446;1,396860905;1,233226385;2,199394552;10,13290259;0,999463181;3,978452112;9,908095584;0,883436349;1,661349103;9,956503387;0,943487348;2,450979728
54;156,5203147;9,917527783;5,399339258;10,06836767;0,635220391;4,353178027;10,0031751;184,4718036;0,180162105;1,383373581;1,233235776;2,124732874;10,11988197;0,999460526;3,613723759;9,932460623;0,883408724;1,65020213;9,981696646;0,943500343;2,660412746
55;156,5297944;9,895586861;5,040100151;10,07373381;0,635344802;4,043204133;10,00150974;184,4701471;0,420925327;1,445304428;1,233253769;1,9295248;10,10484426;0,999458647;3,401280188;9,923948785;0,88338304;1,522210907;9,979475943;0,943512711;2,82832044
56;156,5441849;9,86272965;4,768724412;10,06490108;0,635442959;3,649406446;9,980779742;184,4689995;0,529639483;1,509607282;1,233281667;1,639671086;10,10344635;0,999457098;3,310534892;9,908153505;0,883370157;1,323320845;9,995533345;0,943526272;2,804211318
57;156,5578022;9,875838438;4,734265792;10,04944721;0,635524835;3,451643219;9,954645728;184,4645067;0,753393443;1,504820967;1,233321771;1,362207357;10,0927303;0,999455012;3,565587898;9,903135996;0,883363028;1,023888172;9,97714492;0,943535983;2,572565115
58;156,5659536;9,874720371;4,722943515;10,04134328;0,63559512;3,484627227;9,968548928;184,4590416;0,933482739;1,433395362;1,233368984;1,164034065;10,07745473;0,999453266;3,7524998;9,902239445;0,883366002;1,125188304;9,993118834;0,943545574;2,542004914
59;156,5696944;9,873940763;4,774069511;10,00830375;0,635649459;3,747036443;9,980212114;184,4533168;1,10234772;1,365184331;1,233428611;0,956357035;10,08156198;0,999451438;4,086003916;9,907208083;0,883376768;1,310410131;9,974788941;0,943561613;2,543994715
60;156,5696866;9,864356789;4,883345924;9,995655224;0,635692731;4,043944099;9,962431649;184,450427;0,994144375;1,365114105;1,233499026;0,885850344;10,11171136;0,999449729;4,226171635;9,895109014;0,883376509;1,507456514;10,02058671;0,94358384;2,37196254
61;156,5691737;9,863727189;4,870256044;9,995529321;0,635730622;4,336178566;9,976139267;184,4478012;0,912557368;1,333294057;1,23360247;0,906590603;10,11591013;0,999448707;3,94724049;9,883592801;0,883384897;1,832752708;9,94280259;0,943620812;2,051651272
62;156,5709448;9,892567752;4,816375439;9,997161061;0,635770112;4,360439478;9,981769674;184,4497718;0,494473491;1,36631363;1,233706055;0,911861556;10,11247092;0,999448344;3,70942091;9,927589528;0,883383773;2,101904484;9,999599005;0,943675112;2,530764136
63;156,5759266;9,891505968;4,571332443;10,03837405;0,635831253;4,411682758;9,971229081;184,4547058;0,534823025;1,405499461;1,233807375;0,889616253;10,11851853;0,999447724;3,782515003;9,937247972;0,883385336;2,097804879;9,961309137;0,943718073;2,454548503
64;156,5829523;9,889800483;4,17617165;10,05244439;0,635916417;4,401429317;9,998207828;184,462851;0,800951513;1,472182568;1,233912771;0,875694743;10,13394836;0,999447337;3,978646472;9,918900767;0,88340697;1,861145539;9,975377948;0,943763459;2,65354954
65;156,5895647;9,856981999;4,086119735;10,04475041;0,635995395;4,506578542;9,983404983;184,4738904;1,24464415;1,578067169;1,234021562;0,866243039;10,1312238;0,999447296;4,414521896;9,931483649;0,883443603;1,577677944;9,988556436;0,943796119;2,388850226
66;156,578871;9,835205449;4,977863381;9,984126813;0,636084164;5,038271499;9,979603531;184,4841068;1,353745136;1,797638992;1,234134485;0,862151364;10,13080056;0,999447288;4,485697293;9,946649919;0,883477256;1,464494731;10,01057218;0,943831729;2,408876991
67;156,5482254;9,845906939;6,628725864;9,963559411;0,6361881;5,707410188;9,947522858;184,4994952;1,359381982;1,92699564;1,234262709;1,054478367;10,09505828;0,999448269;3,986366706;9,951450117;0,883510049;1,167590459;10,01933833;0,943868194;2,72257876
68;156,5083211;9,877266562;7,51750744;9,969252563;0,636292646;6,319529241;9,945429132;184,5171535;1,452976574;2,12082952;1,234413065;1,392757475;10,03538448;0,999449985;3,32704719;9,918187438;0,883544609;0,888634515;10,01254238;0,943896596;2,857052774
69;156,47515;9,934780709;6,772771078;10,02861285;0,636361177;6,413071001;9,886153656;184,5355357;1,360197102;2,216607107;1,234550296;1,293583396;10,00854292;0,999451629;3,172523026;9,865615847;0,883598169;0,930382978;9,974359161;0,943922784;2,915372213
70;156,4632707;9,952078851;5,27007715;10,10091357;0,63637683;5,673847305;9,996195555;184,5519228;1,217555171;2,012908291;1,234630667;1,249278195;10,03368257;0,999451282;3,404597777;9,854077937;0,88369026;1,571028504;9,967654999;0,943951257;2,811837142
71;156,474713;9,909263077;4,144981564;10,15635853;0,636349237;4,015878125;10,06428708;184,5575999;0,76772853;1,665811155;1,234640701;1,948725364;10,06696184;0,999448586;3,928930313;9,833177302;0,883810504;2,34214527;9,973651851;0,943978467;2,72950158
72;156,491676;9,88414012;4,007967653;10,11597927;0,636337004;2,302964531;10,04330037;184,5629918;1,510490661;1,437732127;1,234620652;2,173491052;10,10006117;0,999446367;4,191605724;9,86512826;0,883949599;2,901819992;9,961557187;0,943994845;2,536310701
73;156,5039699;9,829991168;4,004091938;10,04721988;0,636311811;1,949194096;10,0416744;184,5613701;2,177500814;1,285898471;1,234608896;1,794422911;10,11149983;0,999444106;4,382404612;9,900145598;0,884077489;2,871308238;9,949603553;0,944000948;2,251867286
74;156,5154463;9,835342165;4,34134219;10,00070964;0,63624028;2,229023408;9,922782269;184,5617999;2,089714503;1,199408019;1,234620823;1,337033022;10,0933271;0,999442512;4,272136168;9,913265936;0,884203173;2,757133656;9,947484721;0,943993046;2,109298025
75;156,5309346;9,877413477;4,703774642;9,957651269;0,636123826;2,531556686;9,923543407;184,5596267;1,774408017;1,297640712;1,234686861;0,598190806;10,11847077;0,999441282;4,018564385;9,910962117;0,884323392;2,556023993;9,949891391;0,943987934;2,226945749
76;156,5512285;9,890642105;4,797253819;9,992200263;0,635992258;2,594962178;9,965536174;184,558228;1,47085455;1,313368373;1,23475627;0,598142485;10,15944885;0,99943963;3,742438013;9,911922582;0,88443921;2,353525079;9,958404856;0,943981393;2,715549424
77;156,5748849;9,882685801;4,763337246;10,03451634;0,635899722;2,112119912;10,00124044;184,5571099;1,369726936;1,343913013;1,234823252;0,611336455;10,17145917;0,999436488;4,029756079;9,94529521;0,884565323;2,41178193;10,00263243;0,943980777;3,04576434
78;156,5941924;9,871813996;4,764373244;10,01792396;0,635864951;1,781490096;9,993591682;184,5557199;1,865658909;1,328886298;1,234912395;0,597464333;10,14418394;0,999433138;4,434183924;9,927366083;0,884689669;2,553206688;10,01068186;0,943974857;2,770311811
79;156,6009525;9,877304762;4,729299836;10,01406255;0,635854809;2,025873943;9,98164386;184,5593894;1,936556215;1,326979103;1,235001304;0,604544936;10,14619101;0,999430453;4,721581403;9,91624917;0,884798816;2,641139918;9,995432636;0,943968965;2,41010414
80;156,6021176;9,888677714;4,768285558;10,0233528;0,635851356;2,83348804;9,965511801;184,5685463;1,667487018;1,378595568;1,235081882;0,653283995;10,11293032;0,999430175;4,611577062;9,931049775;0,884894805;2,53108401;9,969400355;0,943968922;2,289285704
81;156,6008932;9,873328808;4,598420868;10,03511405;0,63583137;3,567754875;9,974942181;184,5845017;1,697222804;1,479269272;1,235163212;0,80211765;10,13082621;0,999432322;4,363136691;9,948679789;0,884981901;2,254509343;9,977004992;0,943966221;2,342909472
82;156,5946837;9,866831032;4,86063643;10,01992447;0,635800378;4,013855694;9,97833516;184,6033632;1,868502166;1,632527033;1,235222933;1,047270977;10,09609585;0,999436905;3,878994006;9,908969662;0,885077561;1,954822152;9,997996709;0,943964833;2,653494051
83;156,5770904;9,926803975;5,541365493;9,976050475;0,635784975;4,239442175;9,949400585;184,6256013;2,103761549;1,862199517;1,23526035;1,245874106;10,09929675;0,999443248;3,487755226;9,897814354;0,885164542;1,37118595;9,961757448;0,943965183;2,665239539
84;156,5530842;10,00528746;5,85030636;10,03124295;0,635794012;4,542870916;9,992703777;184,6515119;2,09661645;2,041122962;1,235300522;1,090520282;10,05869238;0,999451247;3,467133038;9,9153399;0,885220758;0,902963099;9,943115146;0,943974621;2,879206734
85;156,5257406;10,31000357;5,384384256;10,10944859;0,635815977;4,65642964;9,88729399;184,6812364;2,118400075;2,285540989;1,235343386;1,063883405;10,06321093;0,999459976;3,563430854;9,898893831;0,885264174;1,076841599;9,972484824;0,943975306;3,198274425
86;156,4523225;10,40793267;6,721009887;10,18865859;0,635863911;4,287727201;9,9806523;184,7137847;2,83215321;2,507484979;1,235372794;1,14408277;10,13503488;0,999467195;3,52121862;9,881339437;0,885335833;1,310107423;9,972931663;0,94396253;3,101775754
87;156,3330716;10,29127912;11,05228795;10,25787897;0,635980931;3,959207065;10,08726366;184,7454953;2,769375483;2,610948656;1,235418971;0,784248068;10,10295722;0,999474841;3,888307465;9,93027012;0,885432427;1,486570968;10,01561342;0,943955555;2,780379583
88;156,221497;10,26473894;11,15568762;10,40149396;0,636202613;4,917032448;10,16803944;184,7880056;4,049986256;2,49508047;1,235623839;2,687270385;9,978397102;0,999483317;4,318994529;9,9207654;0,885537326;1,740858321;10,06095341;0,94395407;2,702501934
89;156,1747124;10,09300417;6,323473491;10,52250925;0,63645337;6,278813082;10,14020831;184,8375474;6,081091649;2,413829596;1,235924941;4,72130055;9,978535424;0,999490027;4,658680983;9,86410438;0,885661586;1,926284505;9,977060186;0,943954221;2,378556233
90;156,2264195;9,720425346;5,778890911;10,39678674;0,636653789;7,497583934;10,0068896;184,886324;7,868476963;2,391185156;1,236192023;4,206706457;10,0187077;0,999495009;4,542769287;9,804263328;0,885818946;2,547532509;9,963321909;0,943946206;2,245701256
91;156,3355306;9,450233894;8,730943757;10,03862048;0,636831928;10,93465415;9,993783419;184,9149014;8,097398957;1,844896162;1,236367332;3,010768289;10,10476709;0,999498078;3,879007915;9,867522438;0,885982807;2,943368934;9,951027707;0,94393583;2,255476991
92;156,4429833;9,384757153;8,183558031;9,72809044;0,63707877;14,56279336;9,972974467;184,9129676;6,727749431;1,341285961;1,236402646;2,472193855;10,10152825;0,999498978;3,531578535;9,953925855;0,886132305;2,909602929;9,988612771;0,943929535;2,318512373
93;156,5319227;9,525177406;6,871138646;9,623979835;0,63737325;14,63638243;9,865676463;184,8923467;5,556556441;1,404988662;1,236334563;3,277257389;10,06056516;0,999498685;4,084013592;9,954461038;0,88626545;2,56092555;10,02857533;0,943919004;2,261398659
94;156,5870007;9,658011461;5,27836824;9,72857457;0,637624382;10,88186267;9,870931942;184,8569279;4,992978572;1,974814384;1,236207463;3,879038038;10,04540129;0,999498132;4,809236083;9,89214168;0,886390834;2,283611294;9,934414005;0,943915301;2,394546562
95;156,5947564;9,699142732;4,392686521;9,817022981;0,637732862;5,885966654;9,89112931;184,8190011;4,891421424;2,330405997;1,236035593;4,34036437;10,03754573;0,99949728;4,982249394;9,846149593;0,88652682;2,411809859;9,964167665;0,943921104;2,362156275
96;156,5718278;9,744628109;5,584809891;9,848895983;0,637612503;0,899325546;9,824275883;184,7954988;4,502125978;2,39254121;1,23590927;3,556050334;10,01832707;0,999494216;5,091772779;9,831896309;0,886678825;2,884529504;9,940498166;0,943936322;2,980424904
97;156,5499609;9,876269354;6,0622563;9,896194695;0,63729407;4,012049294;9,94372449;184,7864683;3,156069439;2,243795596;1,235884321;1,980423858;9,977391657;0,999490076;5,059906491;9,871060014;0,886868808;3,672130907;9,953626701;0,943943663;2,894089221
98;156,5550893;9,984061141;5,353625636;10,0483599;0,636930356;5,232002705;10,13740416;184,7829903;1,361431436;2,001775743;1,235867359;1,74444338;10,00078158;0,999484631;4,883201684;9,915345799;0,887089564;4,593781351;10,04553137;0,943915549;2,148206138
99;156,5895669;10,01012923;4,998284637;10,18326547;0,636642803;3,246290962;10,1971048;184,7877679;3,368625654;1,794844964;1,235800525;2,519164752;10,06071744;0,999477901;5,295050965;9,867768046;0,887356821;5,862928583;10,05592885;0,943862086;1,727258861
100;156,6368786;9,917395924;5,439659723;10,1998026;0,636484362;1,14214088;10,1319813;184,8067934;5,582992658;1,621429806;1,235677971;3,456904834;10,137266;0,99947005;6,119688694;9,84371155;0,887628443;7,291589149;9,95364252;0,943834398;2,124622699
101;156,6760303;9,794294127;4,857288516;10,06924056;0,636411187;2,947311723;9,920812056;184,8421099;6,55085746;1,620727278;1,23557241;3,46352445;10,20730899;0,999463411;6,934516844;9,803711949;0,887890742;8,350171176;10,01984098;0,943843939;2,586317143
